Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%)
165000,7973,HOUSE,HOUSE,GOOD,3,106.0,0,0.0,0.0,310.0,3.0,0.0,0.0,Belœil,Hainaut,58.241283166388286,51.580685182053095,3359644773.855654,72.2,5.4
880000,1040,HOUSE,APARTMENT_BLOCK,GOOD,4,239.0,0,1.0,0.0,239.0,2.0,0.0,0.0,Bruxelles,Brussels Capital,3.014927999693443,8.28401069710616,8944820813.830002,63.7,12.3
349000,2275,HOUSE,HOUSE,TO_RENOVATE,2,138.0,0,1.0,0.0,650.0,4.0,0.0,0.0,Lille,Antwerp,55.51032094070828,26.153410931467626,1193922262.3400002,76.2,3.4
299000,4040,HOUSE,HOUSE,GOOD,4,205.0,0,1.0,1.0,587.0,3.0,1.0,0.0,Herstal,Liège,91.50636253949226,13.57929836814894,2117667109.4400003,72.2,5.4
515000,2580,HOUSE,HOUSE,GOOD,3,229.0,0,1.0,0.0,775.0,3.0,0.0,0.0,Putte,Antwerp,29.19423118355905,19.055589937101427,1395666596.33,76.2,3.4
400000,9051,APARTMENT,APARTMENT,AS_NEW,3,111.0,1,1.0,0.0,0.0,4.0,0.0,1.0,Gent,East Flanders,50.937307847543416,57.82852350403636,1990062227.7286022,72.2,5.4
220000,7972,HOUSE,VILLA,GOOD,3,191.0,0,0.0,0.0,608.0,4.0,0.0,0.0,Belœil,Hainaut,56.85152301374985,54.77704278776496,3359644773.855654,72.2,5.4
460000,1000,APARTMENT,APARTMENT,AS_NEW,2,89.0,1,1.0,0.0,0.0,4.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3
319000,1410,HOUSE,HOUSE,TO_RENOVATE,2,120.0,0,1.0,1.0,229.0,3.0,0.0,0.0,Waterloo,Walloon Brabant,16.046038598752496,22.053885535170885,2529110710.17,72.2,5.4
375000,8400,APARTMENT,APARTMENT,GOOD,3,115.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4
169000,4020,HOUSE,HOUSE,GOOD,4,125.0,0,0.0,0.0,130.0,3.0,0.0,0.0,Liège,Liège,93.5154291057074,13.75280985443256,10411526122.86,72.2,5.4
160000,2060,APARTMENT,GROUND_FLOOR,TO_BE_DONE_UP,1,69.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4
470000,8420,HOUSE,HOUSE,GOOD,3,166.0,0,0.0,0.0,459.0,4.0,0.0,0.0,De Haan,Other,101.13282120125706,18.51483827110767,982087183.71,72.2,5.4
195000,6660,HOUSE,HOUSE,GOOD,4,163.0,0,1.0,1.0,251.0,2.0,0.0,0.0,Houffalize,Luxembourg,129.29959581855502,61.47513201472225,318890787.8,68.1,6.8
549500,2930,APARTMENT,GROUND_FLOOR,JUST_RENOVATED,2,150.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brasschaat,Antwerp,52.10787612391355,13.64007085189524,3054359109.63,76.2,3.4
219000,2060,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4
439000,8200,HOUSE,HOUSE,GOOD,4,184.0,0,0.0,0.0,206.0,4.0,0.0,0.0,Brugge,Other,90.9910617861971,21.48014189986049,1754096553.2486956,72.2,5.4
449000,1160,APARTMENT,APARTMENT,AS_NEW,2,120.0,1,1.0,1.0,0.0,2.0,0.0,1.0,Auderghem,Brussels Capital,7.524146120309382,10.651500489762531,2398313969.96,63.7,12.3
370000,1080,APARTMENT,APARTMENT,AS_NEW,2,113.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Molenbeek-Saint-Jean,Brussels Capital,2.399759810530328,12.726787855951292,3712648187.18,63.7,12.3
